,Name,Points,Assists,OffensiveRebounds,Position,Season
9577,Hakim Warrick,0.2857142857142857,0.0,0.25,PF,2009.0
9667,Harrison Barnes,0.6190476190476191,0.14285714285714285,0.25,PF,2017.0
9886,Horace Grant,0.09523809523809523,0.2857142857142857,0.5,PF,2000.0
9887,Horace Grant,0.14285714285714285,0.14285714285714285,0.5,PF,2001.0
10233,Jabari Parker,0.38095238095238093,0.14285714285714285,0.25,PF,2016.0
10680,James Johnson,0.2857142857142857,0.42857142857142855,0.0,PF,2017.0
10798,JaMychal Green,0.14285714285714285,0.14285714285714285,0.5,PF,2017.0
10846,Jared Dudley,0.09523809523809523,0.2857142857142857,0.0,PF,2016.0
10866,Jared Sullinger,0.2857142857142857,0.14285714285714285,0.5,PF,2014.0
10937,Jason Caffey,0.23809523809523808,0.14285714285714285,0.5,PF,2000.0
11070,Jason Thompson,0.2857142857142857,0.14285714285714285,0.5,PF,2009.0
11074,Jason Thompson,0.23809523809523808,0.14285714285714285,0.5,PF,2013.0
11075,Jason Thompson,0.09523809523809523,0.0,0.25,PF,2014.0
11235,Jeff Green,0.47619047619047616,0.14285714285714285,0.25,PF,2009.0
11236,Jeff Green,0.47619047619047616,0.14285714285714285,0.25,PF,2010.0
11240,Jeff Green,0.3333333333333333,0.14285714285714285,0.0,PF,2013.0
11452,Jermaine O'Neal,0.5238095238095238,0.14285714285714285,0.5,PF,2002.0
11453,Jermaine O'Neal,0.6666666666666666,0.14285714285714285,0.5,PF,2003.0
11454,Jermaine O'Neal,0.6666666666666666,0.2857142857142857,0.5,PF,2004.0
11549,Jerome Williams,0.14285714285714285,0.0,0.75,PF,2000.0
11554,Jerome Williams,0.14285714285714285,0.14285714285714285,0.5,PF,2003.0
12290,Joe Smith,0.23809523809523808,0.0,0.5,PF,2004.0
12291,Joe Smith,0.19047619047619047,0.0,0.5,PF,2005.0
13061,Jonas Jerebko,0.19047619047619047,0.0,0.5,PF,2010.0
13218,Josh McRoberts,0.14285714285714285,0.5714285714285714,0.25,PF,2014.0
13238,Josh Smith,0.5714285714285714,0.42857142857142855,0.25,PF,2008.0
13239,Josh Smith,0.38095238095238093,0.2857142857142857,0.25,PF,2009.0
13240,Josh Smith,0.47619047619047616,0.5714285714285714,0.5,PF,2010.0
13241,Josh Smith,0.47619047619047616,0.42857142857142855,0.25,PF,2011.0
13242,Josh Smith,0.47619047619047616,0.42857142857142855,0.25,PF,2012.0
13243,Josh Smith,0.5238095238095238,0.42857142857142855,0.25,PF,2013.0
13245,Josh Smith,0.3333333333333333,0.42857142857142855,0.25,PF,2015.0
13311,Julius Randle,0.2857142857142857,0.14285714285714285,0.5,PF,2016.0
13312,Julius Randle,0.2857142857142857,0.42857142857142855,0.25,PF,2017.0
13318,Jumaine Jones,0.14285714285714285,0.14285714285714285,0.25,PF,2002.0
13322,Jumaine Jones,0.19047619047619047,0.0,0.25,PF,2006.0
13387,Juwan Howard,0.42857142857142855,0.42857142857142855,0.25,PF,2000.0
13388,Juwan Howard,0.5714285714285714,0.2857142857142857,0.5,PF,2001.0
